"#","Name   ","Description","Type   ","Kind","Power","Accuracy","PP   ","Pri","Effect Chance","Target"
0,1,2,3,4,5,6,7,8,9,10
71,"Absorb","Restores the user's HP by 1/2 of the damage inflicted on the target.","Grass","Special",20,1,25,0,0.00%,0
51,"Acid","Has a 10% chance to lower the target's Special Defense by 1 stage.","Poison","Special",40,1,30,0,"0 10% 2DE1",3
151,"Acid Armor","Raises the user's Defense by 2 stages.","Poison","Status",0,"— ",40,0,0.00%,0
491,"Acid Spray","Lowers the target's Special Defense by one stage.","Poison","Special",40,1,20,0,"0 100% 2DE1",0
512,"Acrobatics","Acrobat allows the user to hit any target that is not in their attack range in a triple battle. The power is also doubled if the user has no held item.","Flying","Physical",55,1,15,0,0.00%,0
367,"Acupressure","One of the user's stats, including Accuracy or Evasion, is randomly selected and boosted by 2 stages. A stat which is already at max will not be selected. User can also select its partner in 2v2 battles to randomly boost one of its stats.","Normal","Status",0,"— ",30,0,0.00%,0
332,"Aerial Ace","Ignores Evasion and Accuracy modifiers and never misses except against Protect, Detect or a target in the middle of Dig, Fly, Dive or Bounce.","Flying","Physical",60,1.01,20,0,0.00%,0
177,"Aeroblast","Has a high critical hit ratio.","Flying","Special",100,0.95,5,0,0.00%,0
495,"After You","After this move is used, the next turn the target will attack first, ignoring priority.","Normal","Status","–","– ",15,0,0.00%,0
97,"Agility","Raises the user's Speed by 2 stages.","Psychic","Status",0,"— ",30,0,0.00%,0
314,"Air Cutter","Has a high critical hit ratio.","Flying","Special",55,0.95,25,0,0.00%,3
403,"Air Slash","Has a 30% chance to make the target flinch.","Flying","Special",75,0.95,20,0,30.00%,0
502,"Ally Switch","User switches places with a random ally.","Psychic","Status","–","– ",15,1,0.00%,0
133,"Amnesia","Raises the user's Special Defense by 2 stages.","Psychic","Status",0,"— ",20,0,0.00%,0
246,"AncientPower","Has a 10% chance to raise all of the user's stats by 1 stage.","Rock","Special",60,1,5,0,10.00%,0
453,"Aqua Jet","Usually goes first.","Water","Physical",40,1,20,1,0.00%,0
392,"Aqua Ring","The user recovers 1/16 of its max HP per turn until it faints or switches out; this can be Baton Passed to another Pokemon.","Water","Status",0,"— ",20,0,0.00%,0
401,"Aqua Tail","Deals damage with no additional effect.","Water","Physical",90,0.9,10,0,0.00%,0
292,"Arm Thrust","Attacks 2-5 times in one turn; if one of these attacks breaks a target's Substitute, the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice, a 3/8 chance to hit three times, a 1/8 chance to hit four times and a 1/8 chance to hit five times. If the user of this move has Skill Link, this move will always strike five times.","Fighting","Physical",15,1,20,0,0.00%,0
312,"Aromatherapy","Every Pokemon in the user's party is cured of status conditions. Lists every Pokemon that was healed, and what status condition was cured. ","Grass","Status",0,"— ",5,0,0.00%,1
274,"Assist","The user performs a random move from any of the Pokemon on its team. Assist cannot generate itself, Chatter, Copycat, Counter, Covet, Destiny Bond, Detect, Endure, Feint, Focus Punch, Follow Me, Helping Hand, Me First, Metronome, Mimic, Mirror Coat, Mirror Move, Protect, Sketch, Sleep Talk, Snatch, Struggle, Switcheroo, Thief or Trick.","Normal","Status",0,1,20,0,0.00%,0
